PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"30734017","International benchmarking in oesophageal and gastric cancer surgery","Busweiler LAD, Jeremiasen M, Wijnhoven BPL, Lindblad M, Lundell L, van de Velde CJH, Tollenaar RAEM, Wouters MWJM, van Sandick JW, Johansson J, Dikken JL.","BJS Open. 2018 Oct 19;3(1):62-73. doi: 10.1002/bjs5.50107. eCollection 2019 Feb.","Busweiler LAD","BJS Open","2018","2019/02/09","PMC6354189","","10.1002/bjs5.50107"
"30732519","'Having to learn this so late in our lives…' Swedish elderly patients' beliefs, experiences, attitudes and expectations of e-health in primary health care","Nymberg VM, Bolmsjö BB, Wolff M, Calling S, Gerward S, Sandberg M.","Scand J Prim Health Care. 2019 Mar;37(1):41-52. doi: 10.1080/02813432.2019.1570612. Epub 2019 Feb 8.","Nymberg VM","Scand J Prim Health Care","2019","2019/02/09","PMC6452815","","10.1080/02813432.2019.1570612"
"30730586","Diffusion tensor distribution imaging","Topgaard D.","NMR Biomed. 2019 May;32(5):e4066. doi: 10.1002/nbm.4066. Epub 2019 Feb 7.","Topgaard D","NMR Biomed","2019","2019/02/08","PMC6593682","","10.1002/nbm.4066"
"30729192","Albuminuria measurement in diabetic care: a multilevel analysis measuring the influence of accreditation on institutional performance","Ghith N, Merlo J, Frølich A.","BMJ Open Qual. 2019 Jan 14;8(1):e000449. doi: 10.1136/bmjoq-2018-000449. eCollection 2019.","Ghith N","BMJ Open Qual","2019","2019/02/08","PMC6340563","","10.1136/bmjoq-2018-000449"
"30728925","Effectiveness trials: critical data to help understand how respiratory medicines really work?","Heddini A, Sundh J, Ekström M, Janson C.","Eur Clin Respir J. 2019 Jan 29;6(1):1565804. doi: 10.1080/20018525.2019.1565804. eCollection 2019.","Heddini A","Eur Clin Respir J","2019","2019/02/08","PMC6352944","","10.1080/20018525.2019.1565804"
"30726504","Association of Apolipoprotein E With Intracerebral Hemorrhage Risk by Race/Ethnicity: A Meta-analysis","Marini S, Crawford K, Morotti A, Lee MJ, Pezzini A, Moomaw CJ, Flaherty ML, Montaner J, Roquer J, Jimenez-Conde J, Giralt-Steinhauer E, Elosua R, Cuadrado-Godia E, Soriano-Tarraga C, Slowik A, Jagiella JM, Pera J, Urbanik A, Pichler A, Hansen BM, McCauley JL, Tirschwell DL, Selim M, Brown DL, Silliman SL, Worrall BB, Meschia JF, Kidwell CS, Testai FD, Kittner SJ, Schmidt H, Enzinger C, Deary IJ, Rannikmae K, Samarasekera N, Al-Shahi Salman R, Sudlow CL, Klijn CJM, van Nieuwenhuizen KM, Fernandez-Cadenas I, Delgado P, Norrving B, Lindgren A, Goldstein JN, Viswanathan A, Greenberg SM, Falcone GJ, Biffi A, Langefeld CD, Woo D, Rosand J, Anderson CD; International Stroke Genetics Consortium.","JAMA Neurol. 2019 Apr 1;76(4):480-491. doi: 10.1001/jamaneurol.2018.4519.","Marini S","JAMA Neurol","2019","2019/02/07","PMC6459133","","10.1001/jamaneurol.2018.4519"
"30726246","A comparison of emulsion stability for different OSA-modified waxy maize emulsifiers: Granules, dissolved starch, and non-solvent precipitates","Saari H, Wahlgren M, Rayner M, Sjöö M, Matos M.","PLoS One. 2019 Feb 6;14(2):e0210690. doi: 10.1371/journal.pone.0210690. eCollection 2019.","Saari H","PLoS One","2019","2019/02/07","PMC6364883","","10.1371/journal.pone.0210690"
"30725204","Mutations resulting in the formation of hyperactive complement convertases support cytocidal effect of anti-CD20 immunotherapeutics","Felberg A, Urban A, Borowska A, Stasiłojć G, Taszner M, Hellmann A, Blom AM, Okrój M.","Cancer Immunol Immunother. 2019 Apr;68(4):587-598. doi: 10.1007/s00262-019-02304-0. Epub 2019 Feb 6.","Felberg A","Cancer Immunol Immunother","2019","2019/02/07","PMC6447516","","10.1007/s00262-019-02304-0"
"30723225","Targets of complement-fixing antibodies in protective immunity against malaria in children","Reiling L, Boyle MJ, White MT, Wilson DW, Feng G, Weaver R, Opi DH, Persson KEM, Richards JS, Siba PM, Fowkes FJI, Takashima E, Tsuboi T, Mueller I, Beeson JG.","Nat Commun. 2019 Feb 5;10(1):610. doi: 10.1038/s41467-019-08528-z.","Reiling L","Nat Commun","2019","2019/02/07","PMC6363798","","10.1038/s41467-019-08528-z"
"30720903","Defining and measuring 'eczema control': an international qualitative study to explore the views of those living with and treating atopic eczema","Howells L, Thomas KS, Sears AV, Nasr I, Wollenberg A, Schuttelaar MLA, Romeijn GLE, Paller AS, Mueller K, Doytcheva K, Kataoka Y, Daguze J, Barbarot S, von Kobyletzki LB, Beckman L, Ratib S, Cowdell F, Santer M, Chalmers JR; long-term control of eczema working group for the HOME initiative.","J Eur Acad Dermatol Venereol. 2019 Jun;33(6):1124-1132. doi: 10.1111/jdv.15475. Epub 2019 Apr 8.","Howells L","J Eur Acad Dermatol Venereol","2019","2019/02/06","PMC6594222","","10.1111/jdv.15475"
"30720708","Skin Sensitization Testing-What's Next?","Grundström G, Borrebaeck CAK.","Int J Mol Sci. 2019 Feb 4;20(3):666. doi: 10.3390/ijms20030666.","Grundström G","Int J Mol Sci","2019","2019/02/06","PMC6387141","","10.3390/ijms20030666"
"30719433","Investigating the Mechanical Characteristics of Bone-Metal Implant Interface Using in situ Synchrotron Tomographic Imaging","Le Cann S, Tudisco E, Turunen MJ, Patera A, Mokso R, Tägil M, Belfrage O, Hall SA, Isaksson H.","Front Bioeng Biotechnol. 2019 Jan 21;6:208. doi: 10.3389/fbioe.2018.00208. eCollection 2018.","Le Cann S","Front Bioeng Biotechnol","2019","2019/02/06","PMC6348316","","10.3389/fbioe.2018.00208"
"30718697","Mucin staining is of limited value in addition to basic immunohistochemical analyses in the diagnostics of non-small cell lung cancer","Micke P, Botling J, Mattsson JSM, Planck M, Tran L, Vidarsdottir H, Nodin B, Jirström K, Brunnström H.","Sci Rep. 2019 Feb 4;9(1):1319. doi: 10.1038/s41598-018-37722-0.","Micke P","Sci Rep","2019","2019/02/06","PMC6362145","","10.1038/s41598-018-37722-0"
"30718695","Tracing the climate signal: mitigation of anthropogenic methane emissions can outweigh a large Arctic natural emission increase","Christensen TR, Arora VK, Gauss M, Höglund-Isaksson L, Parmentier FW.","Sci Rep. 2019 Feb 4;9(1):1146. doi: 10.1038/s41598-018-37719-9.","Christensen TR","Sci Rep","2019","2019/02/06","PMC6362017","","10.1038/s41598-018-37719-9"
"30718509","Single-cell RNA sequencing reveals midbrain dopamine neuron diversity emerging during mouse brain development","Tiklová K, Björklund ÅK, Lahti L, Fiorenzano A, Nolbrant S, Gillberg L, Volakakis N, Yokota C, Hilscher MM, Hauling T, Holmström F, Joodmardi E, Nilsson M, Parmar M, Perlmann T.","Nat Commun. 2019 Feb 4;10(1):581. doi: 10.1038/s41467-019-08453-1.","Tiklová K","Nat Commun","2019","2019/02/06","PMC6362095","","10.1038/s41467-019-08453-1"
"30717793","Anti-citrullinated protein antibodies are associated with osteopenia but not with pain at diagnosis of rheumatoid arthritis: data from the BARFOT cohort","Hafström I, Ajeganova S, Forslind K, Svensson B.","Arthritis Res Ther. 2019 Feb 4;21(1):45. doi: 10.1186/s13075-019-1833-y.","Hafström I","Arthritis Res Ther","2019","2019/02/06","PMC6360733","","10.1186/s13075-019-1833-y"
"30717248","Monobutyrin Reduces Liver Cholesterol and Improves Intestinal Barrier Function in Rats Fed High-Fat Diets","Nguyen TD, Prykhodko O, Hållenius FF, Nyman M.","Nutrients. 2019 Feb 1;11(2):308. doi: 10.3390/nu11020308.","Nguyen TD","Nutrients","2019","2019/02/06","PMC6412756","","10.3390/nu11020308"
"30717230","Determinants of Erythrocyte Lead Levels in 454 Adults in Florence, Italy","Caini S, Bendinelli B, Masala G, Saieva C, Assedi M, Querci A, Lundh T, Kyrtopoulos SA, Palli D.","Int J Environ Res Public Health. 2019 Feb 1;16(3):425. doi: 10.3390/ijerph16030425.","Caini S","Int J Environ Res Public Health","2019","2019/02/06","PMC6388176","","10.3390/ijerph16030425"
"30715363","Cross-Reactive Antibodies With the Capacity to Mediate HIV-1 Envelope Glycoprotein-Targeted Antibody-Dependent Cellular Cytotoxicity Identified in HIV-2-Infected Individuals","Karlsson I, Tingstedt JL, Şahin GÖ, Hansen M, Szojka Z, Buggert M, Biague A, Da Silva Z, Månsson F, Esbjörnsson J, Norrgren H, Medstrand P, Fomsgaard A, Jansson M; Sweden-Guinea-Bissau Cohort Research Group.","J Infect Dis. 2019 May 5;219(11):1749-1754. doi: 10.1093/infdis/jiz001.","Karlsson I","J Infect Dis","2019","2019/02/05","PMC6500551","","10.1093/infdis/jiz001"
"30715315","Debt and mental health: new insights about the relationship and the importance of the measure of mental health","Dackehag M, Ellegård LM, Gerdtham UG, Nilsson T.","Eur J Public Health. 2019 Jun 1;29(3):488-493. doi: 10.1093/eurpub/ckz002.","Dackehag M","Eur J Public Health","2019","2019/02/05","PMC6533593","","10.1093/eurpub/ckz002"
"30714667","Towards better definition, quantification and treatment of fibrosis in heart failure. A scientific roadmap by the Committee of Translational Research of the Heart Failure Association (HFA) of the European Society of Cardiology","de Boer RA, De Keulenaer G, Bauersachs J, Brutsaert D, Cleland JG, Diez J, Du XJ, Ford P, Heinzel FR, Lipson KE, McDonagh T, Lopez-Andres N, Lunde IG, Lyon AR, Pollesello P, Prasad SK, Tocchetti CG, Mayr M, Sluijter JPG, Thum T, Tschöpe C, Zannad F, Zimmermann WH, Ruschitzka F, Filippatos G, Lindsey ML, Maack C, Heymans S.","Eur J Heart Fail. 2019 Mar;21(3):272-285. doi: 10.1002/ejhf.1406. Epub 2019 Feb 4.","de Boer RA","Eur J Heart Fail","2019","2019/02/05","PMC6607480","","10.1002/ejhf.1406"
"30713595","Multidimensional intratumour heterogeneity in neuroblastoma","von Stedingk K, Gisselsson D, Bexell D.","Oncotarget. 2019 Jan 1;10(1):3-5. doi: 10.18632/oncotarget.26524. eCollection 2019 Jan 1.","von Stedingk K","Oncotarget","2019","2019/02/05","PMC6343759","","10.18632/oncotarget.26524"
"30709058","Scanning 3DXRD Measurement of Grain Growth, Stress, and Formation of Cu6Sn5 around a Tin Whisker during Heat Treatment","Hektor J, Hall SA, Henningsson NA, Engqvist J, Ristinmaa M, Lenrick F, Wright JP.","Materials (Basel). 2019 Jan 31;12(3):446. doi: 10.3390/ma12030446.","Hektor J","Materials (Basel)","2019","2019/02/03","PMC6384662","","10.3390/ma12030446"
"30707351","Whole-genome sequencing identifies complex contributions to genetic risk by variants in genes causing monogenic systemic lupus erythematosus","Almlöf JC, Nystedt S, Leonard D, Eloranta ML, Grosso G, Sjöwall C, Bengtsson AA, Jönsen A, Gunnarsson I, Svenungsson E, Rönnblom L, Sandling JK, Syvänen AC.","Hum Genet. 2019 Feb;138(2):141-150. doi: 10.1007/s00439-018-01966-7. Epub 2019 Feb 1.","Almlöf JC","Hum Genet","2019","2019/02/02","PMC6373277","","10.1007/s00439-018-01966-7"
"30704442","Preteen children's health related quality of life in Sweden: changes over time and disparities between different sociodemographic groups","Baroudi M, Petersen S, Namatovu F, Carlsson A, Ivarsson A, Norström F.","BMC Public Health. 2019 Jan 31;19(1):139. doi: 10.1186/s12889-019-6429-6.","Baroudi M","BMC Public Health","2019","2019/02/02","PMC6357483","","10.1186/s12889-019-6429-6"
"30700486","Living with dementia with Lewy bodies: an interpretative phenomenological analysis","Larsson V, Holmbom-Larsen A, Torisson G, Strandberg EL, Londos E.","BMJ Open. 2019 Jan 29;9(1):e024983. doi: 10.1136/bmjopen-2018-024983.","Larsson V","BMJ Open","2019","2019/02/01","PMC6352787","","10.1136/bmjopen-2018-024983"
"30698307","Establishment and effects of allograft and synthetic bone graft substitute treatment of a critical size metaphyseal bone defect model in the sheep femur","Hettwer W, Horstmann PF, Bischoff S, Güllmar D, Reichenbach JR, Poh PSP, van Griensven M, Gras F, Diefenbeck M.","APMIS. 2019 Feb;127(2):53-63. doi: 10.1111/apm.12918.","Hettwer W","APMIS","2019","2019/01/31","PMC6850422","","10.1111/apm.12918"
"30697062","Patients' return-to-work expectancy relates to their beliefs about their physician's opinion regarding return to work volition and ability","Claréus B, Renström EA.","J Pain Res. 2019 Jan 15;12:353-362. doi: 10.2147/JPR.S179061. eCollection 2019.","Claréus B","J Pain Res","2019","2019/01/31","PMC6339447","","10.2147/JPR.S179061"
"30695999","T-Cell Accumulation in the Hypertensive Brain: A Role for Sphingosine-1-Phosphate-Mediated Chemotaxis","Don-Doncow N, Vanherle L, Zhang Y, Meissner A.","Int J Mol Sci. 2019 Jan 28;20(3):537. doi: 10.3390/ijms20030537.","Don-Doncow N","Int J Mol Sci","2019","2019/01/31","PMC6386943","","10.3390/ijms20030537"
"30694528","One-carbon metabolism biomarkers and risk of urothelial cell carcinoma in the European prospective investigation into cancer and nutrition","Vrieling A, Bueno-De-Mesquita HB, Ros MM, Kampman E, Aben KK, Büchner FL, Jansen EH, Roswall N, Tjønneland A, Boutron-Ruault MC, Cadeau C, Chang-Claude J, Kaaks R, Weikert S, Boeing H, Trichopoulou A, Lagiou P, Trichopoulos D, Sieri S, Palli D, Panico S, Peeters PH, Weiderpass E, Skeie G, Jakszyn P, Chirlaque MD, Ardanaz E, Sánchez MJ, Ehrnström R, Malm J, Ljungberg B, Khaw KT, Wareham NJ, Brennan P, Johansson M, Riboli E, Kiemeney LA.","Int J Cancer. 2019 Nov 1;145(9):2349-2359. doi: 10.1002/ijc.32165. Epub 2019 Feb 13.","Vrieling A","Int J Cancer","2019","2019/01/30","PMC6899898","","10.1002/ijc.32165"
"30692208","Afadin cooperates with Claudin-2 to promote breast cancer metastasis","Tabariès S, McNulty A, Ouellet V, Annis MG, Dessureault M, Vinette M, Hachem Y, Lavoie B, Omeroglu A, Simon HG, Walsh LA, Kimbung S, Hedenfalk I, Siegel PM.","Genes Dev. 2019 Feb 1;33(3-4):180-193. doi: 10.1101/gad.319194.118. Epub 2019 Jan 28.","Tabariès S","Genes Dev","2019","2019/01/30","PMC6362814","","10.1101/gad.319194.118"
"30692147","The circular RNome of primary breast cancer","Smid M, Wilting SM, Uhr K, Rodríguez-González FG, de Weerd V, Prager-Van der Smissen WJC, van der Vlugt-Daane M, van Galen A, Nik-Zainal S, Butler A, Martin S, Davies HR, Staaf J, van de Vijver MJ, Richardson AL, MacGrogan G, Salgado R, van den Eynden GGGM, Purdie CA, Thompson AM, Caldas C, Span PN, Sweep FCGJ, Simpson PT, Lakhani SR, Van Laere S, Desmedt C, Paradiso A, Eyfjord J, Broeks A, Vincent-Salomon A, Futreal AP, Knappskog S, King T, Viari A, Børresen-Dale AL, Stunnenberg HG, Stratton M, Foekens JA, Sieuwerts AM, Martens JWM.","Genome Res. 2019 Mar;29(3):356-366. doi: 10.1101/gr.238121.118. Epub 2019 Jan 28.","Smid M","Genome Res","2019","2019/01/30","PMC6396421","","10.1101/gr.238121.118"
"30691526","ABO-identical matching has no superiority in long-term survival in comparison to ABO-compatible matching in lung transplantation","Fakhro M, Larsson H, Malmsjö M, Algotsson L, Lindstedt S.","J Cardiothorac Surg. 2019 Jan 28;14(1):24. doi: 10.1186/s13019-019-0846-6.","Fakhro M","J Cardiothorac Surg","2019","2019/01/30","PMC6350378","","10.1186/s13019-019-0846-6"
"30691510","Associations between partial pressure of oxygen and neurological outcome in out-of-hospital cardiac arrest patients: an explorative analysis of a randomized trial","Ebner F, Ullén S, Åneman A, Cronberg T, Mattsson N, Friberg H, Hassager C, Kjærgaard J, Kuiper M, Pelosi P, Undén J, Wise MP, Wetterslev J, Nielsen N.","Crit Care. 2019 Jan 28;23(1):30. doi: 10.1186/s13054-019-2322-z.","Ebner F","Crit Care","2019","2019/01/30","PMC6348606","","10.1186/s13054-019-2322-z"
"30691041","Single-Trial Cognitive Stress Classification Using Portable Wireless Electroencephalography","Blanco JA, Vanleer AC, Calibo TK, Firebaugh SL.","Sensors (Basel). 2019 Jan 25;19(3):499. doi: 10.3390/s19030499.","Blanco JA","Sensors (Basel)","2019","2019/01/30","PMC6387350","","10.3390/s19030499"
"30690833","Sports participation and physical activity in adult Dutch and Swedish patients with severe haemophilia: A comparison between intermediate- and high-dose prophylaxis","Versloot O, Berntorp E, Petrini P, Ljung R, Astermark J, Holmström M, de Kleijn P, Fischer K.","Haemophilia. 2019 Mar;25(2):244-251. doi: 10.1111/hae.13683. Epub 2019 Jan 28.","Versloot O","Haemophilia","2019","2019/01/29","PMC6850651","","10.1111/hae.13683"
"30690622","Priors and Posteriors in Bayesian Timing of Divergence Analyses: The Age of Butterflies Revisited","Chazot N, Wahlberg N, Freitas AVL, Mitter C, Labandeira C, Sohn JC, Sahoo RK, Seraphim N, de Jong R, Heikkilä M.","Syst Biol. 2019 Sep 1;68(5):797-813. doi: 10.1093/sysbio/syz002.","Chazot N","Syst Biol","2019","2019/01/29","PMC6893297","","10.1093/sysbio/syz002"
"30689814","Isolation of Nontuberculous Mycobacteria in Southeast Asian and African Human Immunodeficiency Virus-infected Children With Suspected Tuberculosis","Borand L, de Lauzanne A, Nguyen NL, Cheng S, Pham TH, Eyangoh S, Ouedraogo AS, Ung V, Msellati P, Tejiokem M, Nacro B, Inghammar M, Dim B, Delacourt C, Godreuil S, Blanche S, Marcy O; Pediatric Asian African Network for Tuberculosis and HIV Research (PAANTHER) Study Group.","Clin Infect Dis. 2019 May 2;68(10):1750-1753. doi: 10.1093/cid/ciy897.","Borand L","Clin Infect Dis","2019","2019/01/29","PMC6495014","","10.1093/cid/ciy897"
"30686981","Impact of Caffeine Consumption on Type 2 Diabetes-Induced Spatial Memory Impairment and Neurochemical Alterations in the Hippocampus","Duarte JMN, Skoug C, Silva HB, Carvalho RA, Gruetter R, Cunha RA.","Front Neurosci. 2019 Jan 9;12:1015. doi: 10.3389/fnins.2018.01015. eCollection 2018.","Duarte JMN","Front Neurosci","2019","2019/01/29","PMC6333904","","10.3389/fnins.2018.01015"
"30685685","Survival and prognosis with osteosarcoma: outcomes in more than 2000 patients in the EURAMOS-1 (European and American Osteosarcoma Study) cohort","Smeland S, Bielack SS, Whelan J, Bernstein M, Hogendoorn P, Krailo MD, Gorlick R, Janeway KA, Ingleby FC, Anninga J, Antal I, Arndt C, Brown KLB, Butterfass-Bahloul T, Calaminus G, Capra M, Dhooge C, Eriksson M, Flanagan AM, Friedel G, Gebhardt MC, Gelderblom H, Goldsby R, Grier HE, Grimer R, Hawkins DS, Hecker-Nolting S, Sundby Hall K, Isakoff MS, Jovic G, Kühne T, Kager L, von Kalle T, Kabickova E, Lang S, Lau CC, Leavey PJ, Lessnick SL, Mascarenhas L, Mayer-Steinacker R, Meyers PA, Nagarajan R, Randall RL, Reichardt P, Renard M, Rechnitzer C, Schwartz CL, Strauss S, Teot L, Timmermann B, Sydes MR, Marina N.","Eur J Cancer. 2019 Mar;109:36-50. doi: 10.1016/j.ejca.2018.11.027. Epub 2019 Jan 25.","Smeland S","Eur J Cancer","2019","2019/01/28","PMC6506906","","10.1016/j.ejca.2018.11.027"
"30684684","Guns N' viruses","Häfner S.","Microbes Infect. 2019 Apr-May;21(3-4):125-128. doi: 10.1016/j.micinf.2019.01.001. Epub 2019 Jan 23.","Häfner S","Microbes Infect","2019","2019/01/27","PMC7134393","","10.1016/j.micinf.2019.01.001"
"30684119","Latent Semantic Analysis Discriminates Children with Developmental Language Disorder (DLD) from Children with Typical Language Development","Bååth R, Sikström S, Kalnak N, Hansson K, Sahlén B.","J Psycholinguist Res. 2019 Jun;48(3):683-697. doi: 10.1007/s10936-018-09625-8.","Bååth R","J Psycholinguist Res","2019","2019/01/27","PMC6513896","","10.1007/s10936-018-09625-8"
"30683880","Shared heritability and functional enrichment across six solid cancers","Jiang X, Finucane HK, Schumacher FR, Schmit SL, Tyrer JP, Han Y, Michailidou K, Lesseur C, Kuchenbaecker KB, Dennis J, Conti DV, Casey G, Gaudet MM, Huyghe JR, Albanes D, Aldrich MC, Andrew AS, Andrulis IL, Anton-Culver H, Antoniou AC, Antonenkova NN, Arnold SM, Aronson KJ, Arun BK, Bandera EV, Barkardottir RB, Barnes DR, Batra J, Beckmann MW, Benitez J, Benlloch S, Berchuck A, Berndt SI, Bickeböller H, Bien SA, Blomqvist C, Boccia S, Bogdanova NV, Bojesen SE, Bolla MK, Brauch H, Brenner H, Brenton JD, Brook MN, Brunet J, Brunnström H, Buchanan DD, Burwinkel B, Butzow R, Cadoni G, Caldés T, Caligo MA, Campbell I, Campbell PT, Cancel-Tassin G, Cannon-Albright L, Campa D, Caporaso N, Carvalho AL, Chan AT, Chang-Claude J, Chanock SJ, Chen C, Christiani DC, Claes KBM, Claessens F, Clements J, Collée JM, Correa MC, Couch FJ, Cox A, Cunningham JM, Cybulski C, Czene K, Daly MB, deFazio A, Devilee P, Diez O, Gago-Dominguez M, Donovan JL, Dörk T, Duell EJ, Dunning AM, Dwek M, Eccles DM, Edlund CK, Edwards DRV, Ellberg C, Evans DG, Fasching PA, Ferris RL, Liloglou T, Figueiredo JC, Fletcher O, Fortner RT, Fostira F, Franceschi S, Friedman E, Gallinger SJ, Ganz PA, et al.","Nat Commun. 2019 Jan 25;10(1):431. doi: 10.1038/s41467-018-08054-4.","Jiang X","Nat Commun","2019","2019/01/27","PMC6347624","","10.1038/s41467-018-08054-4"
"30683864","Heme detoxification by heme oxygenase-1 reinstates proliferative and immune balances upon genotoxic tissue injury","Hedblom A, Hejazi SM, Canesin G, Choudhury R, Hanafy KA, Csizmadia E, Persson JL, Wegiel B.","Cell Death Dis. 2019 Jan 25;10(2):72. doi: 10.1038/s41419-019-1342-6.","Hedblom A","Cell Death Dis","2019","2019/01/27","PMC6347604","","10.1038/s41419-019-1342-6"
"30683100","A framework for the ethical assessment of chimeric animal research involving human neural tissue","Porsdam Mann S, Sun R, Hermerén G.","BMC Med Ethics. 2019 Jan 25;20(1):10. doi: 10.1186/s12910-019-0345-2.","Porsdam Mann S","BMC Med Ethics","2019","2019/01/27","PMC6347750","","10.1186/s12910-019-0345-2"
"30681969","Exposure to Pesticides and Health Effects on Farm Owners and Workers From Conventional and Organic Agricultural Farms in Costa Rica: Protocol for a Cross-Sectional Study","Fuhrimann S, Winkler MS, Staudacher P, Weiss FT, Stamm C, Eggen RI, Lindh CH, Menezes-Filho JA, Baker JM, Ramírez-Muñoz F, Gutiérrez-Vargas R, Mora AM.","JMIR Res Protoc. 2019 Jan 25;8(1):e10914. doi: 10.2196/10914.","Fuhrimann S","JMIR Res Protoc","2019","2019/01/26","PMC6367668","","10.2196/10914"
"30681432","Steroids for Acute Vestibular Neuronitis-the Earlier the Treatment, the Better the Outcome?","Sjögren J, Magnusson M, Tjernström F, Karlberg M.","Otol Neurotol. 2019 Mar;40(3):372-374. doi: 10.1097/MAO.0000000000002106.","Sjögren J","Otol Neurotol","2019","2019/01/26","PMC6380443","","10.1097/MAO.0000000000002106"
"30680526","Liver disease in adults with severe alpha-1-antitrypsin deficiency","Tanash HA, Piitulainen E.","J Gastroenterol. 2019 Jun;54(6):541-548. doi: 10.1007/s00535-019-01548-y. Epub 2019 Jan 24.","Tanash HA","J Gastroenterol","2019","2019/01/26","PMC6536463","","10.1007/s00535-019-01548-y"
"30680431","Risk of imminent fracture following a previous fracture in a Swedish database study","Banefelt J, Åkesson KE, Spångéus A, Ljunggren O, Karlsson L, Ström O, Ortsäter G, Libanati C, Toth E.","Osteoporos Int. 2019 Mar;30(3):601-609. doi: 10.1007/s00198-019-04852-8. Epub 2019 Jan 24.","Banefelt J","Osteoporos Int","2019","2019/01/26","PMC6422949","","10.1007/s00198-019-04852-8"
"30679591","The factors affecting a native obligate parasite, Cuscuta australis, in selecting an exotic weed, Humulus scandens, as its host","Wu AP, Zhong W, Yuan JR, Qi LY, Chen FL, Liang YS, He FF, Wang YH.","Sci Rep. 2019 Jan 24;9(1):511. doi: 10.1038/s41598-018-36997-7.","Wu AP","Sci Rep","2019","2019/01/26","PMC6345906","","10.1038/s41598-018-36997-7"
"30678709","Effect of a lifestyle-focused electronic patient support application for improving risk factor management, self-rated health, and prognosis in post-myocardial infarction patients: study protocol for a multi-center randomized controlled trial","Gonzalez M, Sjölin I, Bäck M, Ögmundsdottir Michelsen H, Tanha T, Sandberg C, Schiopu A, Leosdottir M.","Trials. 2019 Jan 24;20(1):76. doi: 10.1186/s13063-018-3118-1.","Gonzalez M","Trials","2019","2019/01/26","PMC6346565","","10.1186/s13063-018-3118-1"
"30678081","Phosphorylation-Dependent Regulation of Mammalian Aquaporins","Nesverova V, Törnroth-Horsefield S.","Cells. 2019 Jan 23;8(2):82. doi: 10.3390/cells8020082.","Nesverova V","Cells","2019","2019/01/26","PMC6406877","","10.3390/cells8020082"
"30678032","pKa Determination of a Histidine Residue in a Short Peptide Using Raman Spectroscopy","Pogostin BH, Malmendal A, Londergan CH, Åkerfeldt KS.","Molecules. 2019 Jan 23;24(3):405. doi: 10.3390/molecules24030405.","Pogostin BH","Molecules","2019","2019/01/26","PMC6385126","","10.3390/molecules24030405"
"30677501","hMRI - A toolbox for quantitative MRI in neuroscience and clinical research","Tabelow K, Balteau E, Ashburner J, Callaghan MF, Draganski B, Helms G, Kherif F, Leutritz T, Lutti A, Phillips C, Reimer E, Ruthotto L, Seif M, Weiskopf N, Ziegler G, Mohammadi S.","Neuroimage. 2019 Jul 1;194:191-210. doi: 10.1016/j.neuroimage.2019.01.029. Epub 2019 Jan 21.","Tabelow K","Neuroimage","2019","2019/01/25","PMC6547054","","10.1016/j.neuroimage.2019.01.029"
"30675626","Rationale for enteroviral vaccination and antiviral therapies in human type 1 diabetes","Dunne JL, Richardson SJ, Atkinson MA, Craig ME, Dahl-Jørgensen K, Flodström-Tullberg M, Hyöty H, Insel RA, Lernmark Å, Lloyd RE, Morgan NG, Pugliese A.","Diabetologia. 2019 May;62(5):744-753. doi: 10.1007/s00125-019-4811-7. Epub 2019 Jan 23.","Dunne JL","Diabetologia","2019","2019/01/25","PMC6450860","","10.1007/s00125-019-4811-7"
"30675360","Discovery of KIRREL as a biomarker for prognostic stratification of patients with thin melanoma","Lundgren S, Fagerström-Vahman H, Zhang C, Ben-Dror L, Mardinoglu A, Uhlen M, Nodin B, Jirström K.","Biomark Res. 2019 Jan 14;7:1. doi: 10.1186/s40364-018-0153-8. eCollection 2019.","Lundgren S","Biomark Res","2019","2019/01/25","PMC6332842","","10.1186/s40364-018-0153-8"
"30674863","New Insights on the Role of Urea on the Dissolution and Thermally-Induced Gelation of Cellulose in Aqueous Alkali","Alves L, Medronho B, Filipe A, E Antunes F, Lindman B, Topgaard D, Davidovich I, Talmon Y.","Gels. 2018 Dec 11;4(4):87. doi: 10.3390/gels4040087.","Alves L","Gels","2018","2019/01/25","PMC6318579","","10.3390/gels4040087"
"30673839","A Device that Models Human Swallowing","Stading M, Waqas MQ, Holmberg F, Wiklund J, Kotze R, Ekberg O.","Dysphagia. 2019 Oct;34(5):615-626. doi: 10.1007/s00455-018-09969-2. Epub 2019 Jan 23.","Stading M","Dysphagia","2019","2019/01/24","PMC6717600","","10.1007/s00455-018-09969-2"
"30673773","A simplified flow cytometric method for detection of inherited platelet disorders-A comparison to the gold standard light transmission aggregometry","Navred K, Martin M, Ekdahl L, Zetterberg E, Andersson NG, Strandberg K, Norstrom E.","PLoS One. 2019 Jan 23;14(1):e0211130. doi: 10.1371/journal.pone.0211130. eCollection 2019.","Navred K","PLoS One","2019","2019/01/24","PMC6343919","","10.1371/journal.pone.0211130"
"30672665","Potential risk associated with direct modulation of the gut flora in patients with heart failure","He Z, Wang J, Chen Y, Cong X, Li N, Ding R, Hultgårdh-Nilsson A, Liang C.","ESC Heart Fail. 2019 Jun;6(3):555-556. doi: 10.1002/ehf2.12403. Epub 2019 Jan 23.","He Z","ESC Heart Fail","2019","2019/01/24","PMC6487722","","10.1002/ehf2.12403"
